Rk,Player,Pos,Age,Tm,G,MP,FG%,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,-9999
1,Precious Achiuwa,C,22,TOR,73,1725,.439,.741,.348,.274,.085,.035,.259,.468,.614,.345,.373,.190,.359,achiupr01
2,Steven Adams,C,28,MEM,76,1999,.547,.997,.693,.260,.042,.003,.003,.548,.632,.350,.438,.000,.000,adamsst01
3,Bam Adebayo,C,24,MIA,56,1825,.557,.992,.395,.309,.200,.088,.008,.562,.771,.467,.404,.313,.000,adebaba01
4,Santi Aldama,PF,21,MEM,32,360,.402,.636,.333,.205,.091,.008,.364,.560,.682,.444,.417,.000,.125,aldamsa01
5,LaMarcus Aldridge,C,36,BRK,47,1050,.550,.900,.210,.170,.240,.279,.100,.578,.729,.513,.509,.563,.304,aldrila01
6,Nickeil Alexander-Walker,SG,23,TOT,65,1466,.372,.503,.213,.162,.071,.057,.497,.433,.579,.318,.375,.282,.311,alexani01
6,Nickeil Alexander-Walker,SG,23,NOP,50,1317,.375,.517,.217,.166,.074,.060,.483,.434,.584,.333,.362,.263,.311,alexani01
6,Nickeil Alexander-Walker,SG,23,UTA,15,149,.333,.313,.167,.104,.021,.021,.688,.400,.500,.000,1.000,1.000,.303,alexani01
7,Grayson Allen,SG,26,MIL,66,1805,.448,.316,.158,.097,.047,.014,.684,.533,.678,.400,.370,.375,.409,allengr01
8,Jarrett Allen,C,23,CLE,56,1809,.677,.982,.624,.294,.046,.018,.018,.688,.809,.469,.480,.600,.100,allenja01
9,Jose Alvarado,PG,23,NOP,54,834,.446,.626,.235,.248,.099,.044,.374,.538,.609,.507,.483,.462,.291,alvarjo01
10,Justin Anderson,SF,28,TOT,16,316,.379,.379,.147,.095,.042,.095,.621,.583,.714,.444,.250,.667,.254,anderju01
10,Justin Anderson,SF,28,CLE,3,47,.500,.250,.125,.000,.000,.125,.750,1.000,1.000,,,1.000,.333,anderju01
10,Justin Anderson,SF,28,IND,13,269,.368,.391,.149,.103,.046,.092,.609,.559,.692,.444,.250,.625,.245,anderju01
11,Kyle Anderson,PF,28,MEM,69,1484,.446,.768,.279,.303,.141,.045,.232,.481,.641,.437,.333,.238,.330,anderky01
12,Giannis Antetokounmpo,PF,27,MIL,67,2204,.553,.806,.406,.198,.120,.082,.194,.616,.808,.421,.416,.431,.293,antetgi01
13,Thanasis Antetokounmpo,SF,29,MIL,48,473,.547,.891,.672,.172,.039,.008,.109,.596,.686,.318,.200,1.000,.143,antetth01
14,Carmelo Anthony,PF,37,LAL,69,1793,.441,.451,.101,.066,.152,.131,.549,.521,.671,.417,.500,.484,.375,anthoca01
15,Cole Anthony,PG,21,ORL,65,2059,.391,.571,.147,.214,.095,.115,.429,.432,.590,.385,.448,.305,.338,anthoco01
16,OG Anunoby,SF,24,TOR,48,1728,.443,.545,.263,.125,.080,.077,.455,.511,.689,.356,.393,.278,.363,anunoog01
17,Ryan Arcidiacono,PG,27,NYK,10,76,.500,.250,.000,.083,.167,.000,.750,.667,,1.000,.500,,.444,arcidry01
18,Trevor Ariza,SF,36,LAL,24,462,.333,.253,.162,.081,.010,.000,.747,.520,.688,.250,.000,,.270,arizatr01
19,D.J. Augustin,PG,34,TOT,55,883,.423,.261,.131,.086,.018,.027,.739,.448,.586,.368,.250,.167,.415,augusdj01
19,D.J. Augustin,PG,34,HOU,34,510,.404,.294,.162,.074,.022,.037,.706,.400,.545,.300,.000,.200,.406,augusdj01
19,D.J. Augustin,PG,34,LAL,21,373,.453,.209,.081,.105,.012,.012,.791,.556,.714,.444,1.000,.000,.426,augusdj01
20,Deni Avdija,SF,21,WAS,82,1984,.432,.553,.221,.261,.040,.031,.447,.525,.633,.464,.435,.389,.317,avdijde01
21,Joel Ayayi,SG,21,WAS,7,20,.167,.833,.167,.333,.167,.167,.167,.200,.000,.000,1.000,.000,.000,ayayijo01
22,Deandre Ayton,C,23,PHO,58,1713,.634,.973,.333,.397,.184,.059,.027,.642,.793,.588,.555,.415,.368,aytonde01
23,Udoka Azubuike,C,22,UTA,17,195,.755,1.000,.694,.286,.020,.000,.000,.755,.824,.643,.000,,,azubuud01
24,Marvin Bagley III,PF,22,TOT,48,1146,.504,.783,.327,.363,.081,.011,.217,.579,.795,.457,.306,.200,.237,baglema01
24,Marvin Bagley III,PF,22,SAC,30,656,.463,.748,.289,.350,.098,.012,.252,.538,.718,.442,.375,.333,.242,baglema01
24,Marvin Bagley III,PF,22,DET,18,490,.555,.825,.375,.380,.060,.010,.175,.624,.867,.474,.167,.000,.229,baglema01
25,LaMelo Ball,PG,20,CHO,75,2422,.429,.549,.204,.176,.104,.065,.451,.462,.582,.398,.389,.370,.389,ballla01
26,Lonzo Ball,PG,24,CHI,35,1212,.423,.321,.154,.047,.057,.063,.679,.423,.610,.333,.273,.167,.423,balllo01
27,Mo Bamba,C,23,ORL,71,1824,.480,.545,.285,.157,.045,.057,.455,.563,.727,.433,.286,.314,.381,bambamo01
28,Desmond Bane,SG,23,MEM,76,2266,.461,.525,.153,.156,.116,.099,.475,.484,.669,.384,.438,.413,.436,banede01
29,Dalano Banton,PG,22,TOR,64,696,.411,.748,.332,.233,.119,.064,.252,.464,.612,.362,.292,.385,.255,bantoda01
30,Cat Barber,PG,27,ATL,3,13,.000,1.000,.500,.000,.000,.500,.000,.000,.000,,,.000,,barbeca01
31,Harrison Barnes,PF,29,SAC,77,2587,.469,.568,.237,.283,.041,.007,.432,.525,.682,.403,.471,.500,.394,barneha02
32,Scottie Barnes,PF,20,TOR,74,2617,.492,.793,.264,.325,.116,.088,.207,.543,.711,.502,.398,.378,.301,barnesc01
33,RJ Barrett,SF,21,NYK,70,2417,.408,.662,.309,.243,.068,.042,.338,.442,.596,.307,.309,.300,.342,barrerj01
34,Will Barton,SG,31,DEN,71,2277,.438,.520,.186,.180,.067,.087,.480,.504,.701,.398,.433,.359,.365,bartowi01
35,Paris Bass,SF,26,PHO,2,7,.333,.667,.333,.333,.000,.000,.333,.500,1.000,.000,,,.000,basspa01
36,Charles Bassey,C,21,PHI,23,168,.638,.915,.574,.213,.106,.021,.085,.698,.741,.700,.600,.000,.000,bassech01
37,Keita Bates-Diop,SF,26,SAS,59,956,.517,.791,.502,.198,.046,.046,.209,.572,.682,.385,.500,.250,.309,bateske01
38,Nicolas Batum,PF,33,LAC,59,1462,.463,.302,.121,.044,.057,.080,.698,.607,.809,.412,.636,.387,.400,batumni01
39,Kent Bazemore,SF,32,LAL,39,545,.324,.424,.173,.094,.058,.101,.576,.271,.333,.308,.125,.214,.363,bazemke01
40,Darius Bazley,PF,21,OKC,69,1924,.422,.586,.307,.251,.011,.017,.414,.511,.613,.405,.571,.182,.297,bazleda01
41,Bradley Beal,SG,28,WAS,40,1439,.451,.728,.197,.252,.171,.108,.272,.508,.697,.407,.470,.458,.300,bealbr01
42,Malik Beasley,SG,25,MIN,79,1976,.391,.251,.088,.066,.052,.045,.749,.432,.587,.357,.341,.342,.377,beaslma01
43,Jordan Bell,C,27,CHI,1,2,,,,,,,,,,,,,,belljo01
44,DeAndre' Bembry,SF,27,TOT,56,1026,.561,.837,.584,.249,.000,.005,.163,.589,.667,.418,,.000,.417,bembrde01
